ev_id,crew_age,crew_inj_level,flight_hours
20080514X00667,54,0,14500
20080312X00305,42,0,10000
20080827X01333,56,3,1200
20090526X53909,61,1,367
20090718X25941,65,0,1
20100212X05854,66,3,880
20100222X84927,59,0,14
20100520X02527,50,0,23000
20100725X05225,68,3,5
20100806X53016,50,0,8
20100809X75512,34,0,6.300000191
20100924X30155,26,3,164.3000031
20101009X62708,41,3,260
20101112X34929,50,0,10500
20101115X50550,50,3,30
20101115X73149,41,2,9
20101122X40458,58,3,10
20101220X81957,53,2,1
20101227X20119,50,3,480
20110209X55126,54,0,223
20110223X03211,52,0,167
20110310X55313,36,0,4
20110315X35559,28,0,0
20110318X05118,32,0,8
20110318X51306,47,0,2
20110322X41958,47,3,1900
20110323X24235,58,0,5
20110403X03645,64,3,11237
20110407X64854,24,2,900
20110407X95823,45,0,0
20110412X23201,59,0,8
20110425X91507,55,0,300
20110425X94236,57,0,6500
20110425X95343,74,0,0.200000003
20110501X14924,56,2,177
20110514X00412,77,3,579
20110519X02343,41,1,5117
20110520X11457,78,3,6020
20110524X40415,74,2,300
20110529X15329,57,3,68
20110607X83931,37,0,6
20110613X14032,48,0,0
20110615X10113,35,0,7
20110619X03558,54,3,370
20110620X22349,63,3,1600
20110621X20906,65,3,0
20110621X23341,67,0,9
20110621X25702,63,2,11
20110626X60527,38,2,0
20110629X23512,43,3,0
20110703X03457,45,3,0
20110705X42318,54,2,21
20110705X34957,54,1,7
20110706X71714,55,0,3300
20110707X24548,44,0,0
20110707X35545,44,3,152
20110708X22039,77,0,3
20110710X15524,48,0,15
20110710X23251,60,3,10
20110714X50806,62,3,4125
20110716X31225,84,3,3
20110718X33733,58,3,8000
20110721X20809,59,0,15
20110723X95952,25,3,194
20110725X35104,52,1,23
20110726X03548,53,3,0
20110802X13338,73,3,502
20110806X05109,53,0,450
20110807X03612,36,1,3150
20110810X45524,36,1,7
20110814X15623,71,3,1650
20110816X45819,54,0,15600
20110818X51603,39,3,3000
20110822X11656,50,3,22000
20110822X65726,63,2,3000
20110822X11600,41,0,8000
20110825X14403,50,3,0
20110902X54326,31,0,198
20110904X20751,69,3,162
20110904X00636,24,3,5
20110904X00636,26,0,5
20110906X04202,72,3,2248
20110906X05207,54,1,2
20110906X72514,76,3,2075
20110908X35846,51,3,591
20110909X24928,62,3,2328
20110912X00844,67,1,1315
20110928X25902,24,2,0
20110929X31009,59,3,1500
20111001X63448,64,3,60
20111005X02745,70,3,21811
20111012X60235,49,1,126
20111027X60809,65,3,24
20111029X13450,57,3,2200
20111029X32246,37,0,228
20111031X10241,66,3,5
20111103X34623,55,0,10
20111110X01102,30,3,850
20111111X12732,58,3,1
20111116X32140,57,2,27000
20111121X70533,65,3,1600
20111124X85300,31,3,2500
20111125X02448,24,3,1
20111129X24104,69,3,9500
20111201X20300,22,1,46
20111208X41332,54,0,8
20111210X64849,53,3,713
20111214X53854,53,0,11781
20111214X53854,44,0,11781
20111215X31833,62,3,1
